1	755133	802894
1	1500665	1677446
1	10292990	10304358
1	12764516	12814895
1	12815096	12850442
1	13317270	13344290
1	17063450	17148827
1	25455929	25534798
1	34864262	34886854
1	55496030	55501955
1	61885691	61892396
1	62209532	62211930
1	64609870	64627192
1	72522942	72541005
1	72541087	72584491
1	94903286	94927998
1	103904754	103965021
1	105814900	105825577
1	106110662	106117376
1	108531283	108540626
1	110023251	110046520
1	111178892	111193589
1	112491850	112507478
1	147291433	147540168
1	150822152	150857117
1	151026303	151040528
1	153923594	153933584
1	156781710	156790294
1	159790678	159885172
1	159885445	159914860
1	164442668	164462325
1	167483562	167509024
1	173063029	173068476
1	177590362	177605828
1	187592961	187643043
1	187660146	187720166
1	190092478	190134333
1	193673071	193685544
1	194994474	195076538
1	195083354	195114597
1	195120143	195171781
1	197377987	197380860
1	208137686	208153174
1	213558120	213567653
1	221083030	221090391
1	227877793	227887052
1	236917601	236929071
1	238458364	238462727
1	246679947	246703886
1	246804071	246875179
1	246933527	246942930
2	4183563	4201386
2	4895685	4901740
2	6215592	6225325
2	16925048	16925755
2	24460459	24465230
2	26226629	26234121
2	34552820	34590666
2	35435200	35458947
2	35829478	35850976
2	36189111	36204606
2	38715728	38731820
2	41091740	41104736
2	49386547	49398544
2	51505472	51505628
2	52597430	52641452
2	55762444	55792250
2	59475987	59491759
2	75217808	75220193
2	75228688	75235344
2	79182655	79196318
2	87214684	87267862
2	87366799	87379990
2	87402576	87420432
2	87600505	87620411
2	89632343	89938568
2	97484645	97528620
2	98243605	98244295
2	106246528	106253686
2	115103318	115119683
2	123192220	123200122
2	129354549	129356784
2	130262036	130276516
2	130510327	130541927
2	131937877	131943261
2	132997493	133001176
2	146578556	146594275
2	172537088	172549619
2	174298187	174305901
2	179769901	179791835
2	180121617	180133887
2	183793699	183797968
2	184952309	184973209
2	189276033	189288783
2	203001337	203021726
2	203605143	203612384
2	208058437	208063156
2	208063201	208067720
2	212894597	212900069
3	199603	209876
3	1650640	1667529
3	4165820	4176800
3	6200882	6217366
3	6621544	6630077
3	17504550	17521441
3	26401196	26420976
3	26576769	26586964
3	37952422	37962109
3	46768382	46824592
3	52998252	53006973
3	53007052	53016893
3	65163494	65191388
3	68176237	68176583
3	75503861	75576829
3	75591245	75628511
3	75651240	75677870
3	75691330	75721430
3	82947240	82963734
3	84782449	84784850
